Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
2000,1,8,Tampa Bay Lightning,Nikita Alexeev\alexeni01,SU,RW,18,2007,Erie,OHL,x,159,20,17,37,-8,28
2001,1,8,Columbus Blue Jackets,Pascal Leclaire\leclapa01,CA,G,18,2011,Halifax,QMJHL,x,173,0,4,4,0,8
2002,1,8,Minnesota Wild,Pierre-Marc Bouchard\bouchpi02,CA,C,18,2014,Chicoutimi,QMJHL,x,593,110,246,356,6,190
2003,1,8,Atlanta Thrashers,Braydon Coburn\coburbr01,CA,D,18,2020,Portland,WHL,x,964,49,183,232,49,706
2004,1,8,Columbus Blue Jackets,Alexandre Picard\picaral02,CA,LW,18,2010,Lewiston,QMJHL,x,67,0,2,2,-9,58
2005,1,8,San Jose Sharks,Devin Setoguchi\setogde01,CA,RW,18,2017,Saskatoon,WHL,x,516,131,130,261,-11,177
1993,1,9,Dallas Stars,Todd Harvey\harveto01,CA,RW,18,2006,Detroit,OHL,x,671,91,132,223,19,950
1994,1,9,New York Islanders,Brett Lindros\lindrbr01,CA,RW,18,1996,Kingston,OHL,x,51,2,5,7,-14,147
1995,1,9,Boston Bruins,Kyle McLaren\mclarky01,CA,D,18,2008,Tacoma,WHL,x,719,46,161,207,27,671
1996,1,9,Anaheim Ducks,Ruslan Salei\saleiru01,SU,D,21,2011,Las Vegas,IHL,x,917,45,159,204,-25,1065
1997,1,9,Washington Capitals,Nick Boynton\boyntni01,CA,D,18,2011,Ottawa,OHL,x,605,34,110,144,19,862
1998,1,9,New York Islanders,Mike Rupp\ruppmi01,US,C,18,2014,Erie,OHL,x,610,54,45,99,-28,855
1999,1,9,New York Rangers,Jamie Lundmark\lundmja01,CA,C,18,2010,Moose Jaw,WHL,x,295,40,59,99,-29,204
2000,1,9,Calgary Flames,Brent Krahn\krahnbr01,CA,G,18,2009,Calgary,WHL,x,1,0,0,0,0,0
2001,1,9,Chicago Blackhawks,Tuomo Ruutu\ruututu01,FI,C,18,2016,Jokerit Helsinki,KHL,x,735,148,198,346,-70,596
2002,1,9,Florida Panthers,Petr Taticek\taticpe01,CS,C,18,2006,Sault Ste. Marie,OHL,x,3,0,0,0,0,0
2003,1,9,Calgary Flames,Dion Phaneuf\phanedi01,CA,D,18,2019,Red Deer,WHL,x,1048,137,357,494,-57,1345
2004,1,9,Anaheim Ducks,Ladislav Smid\smidla01,CS,D,18,2016,Liberec,Czech,x,583,12,60,72,-68,472
2005,1,9,Ottawa Senators,Brian Lee\leebr01,US,D,18,2013,Moorhead,High-MN,x,209,5,31,36,-37,124
1993,1,10,Quebec Nordiques,Jocelyn Thibault\thibajo01,CA,G,18,2008,Sherbrooke,QMJHL,x,586,0,6,6,0,18
1994,1,10,Washington Capitals,Nolan Baumgartner\baumgno01,CA,D,18,2010,Kamloops,WHL,x,143,7,40,47,11,69
1995,1,10,Florida Panthers,Radek Dvorak\dvorara01,CS,RW,18,2014,Ceske Budejovice,Czech-2,x,1260,227,363,590,-10,449
1996,1,10,New Jersey Devils,Lance Ward\wardla01,CA,D,18,2004,Red Deer,WHL,x,209,4,12,16,-30,391
1997,1,10,Vancouver Canucks,Brad Ference\ferenbr01,CA,D,18,2007,Spokane,WHL,x,250,4,30,34,-44,565
1998,1,10,Toronto Maple Leafs,Nik Antropov\antroni01,SU,C,18,2013,Torpedo Ust-Kamenogorsk,Russia-2,x,788,193,272,465,55,627
1999,1,10,New York Islanders,Branislav Mezei\mezeibr01,CS,D,18,2008,Belleville,OHL,x,240,5,19,24,-14,311
2000,1,10,Chicago Blackhawks,Mikhail Yakubov\yakubmi01,SU,C,18,2006,Lada Togliatti,KHL,x,53,2,10,12,-13,20
2001,1,10,New York Rangers,Dan Blackburn\blackda01,CA,G,18,2003,Kootenay,WHL,x,63,0,0,0,0,12
2002,1,10,Calgary Flames,Eric Nystrom\nystrer01,US,LW,19,2016,Michigan,CCHA,x,593,75,48,123,-73,401
2003,1,10,Montreal Canadiens,Andrei Kostitsyn\kostian01,SU,LW,18,2012,CSKA 2,KHL,x,398,103,119,222,15,181
2004,1,10,Atlanta Thrashers,Boris Valabik\valabbo01,CS,D,18,2010,Kitchener,OHL,x,80,0,7,7,-14,210
2005,1,10,Vancouver Canucks,Luc Bourdon\bourdlu01,CA,D,18,2008,Val d'Or,QMJHL,x,36,2,0,2,6,24
1993,1,11,Washington Capitals,Brendan Witt\wittbr01,CA,D,18,2010,Seattle,WHL,x,890,25,96,121,-91,1424
1994,1,11,San Jose Sharks,Jeff Friesen\friesje01,CA,LW,18,2007,Regina,WHL,x,893,218,298,516,-8,488
1995,1,11,Dallas Stars,Jarome Iginla\iginlja01,CA,RW,18,2017,Kamloops,WHL,x,1554,625,675,1300,30,1040
1996,1,11,Phoenix Coyotes,Dan Focht\fochtda01,CA,D,18,2004,Tri-City,WHL,x,82,2,6,8,-32,145
1997,1,11,Montreal Canadiens,Jason Ward\wardja01,CA,RW,18,2009,Erie,OHL,x,336,36,45,81,-29,171
1998,1,11,Carolina Hurricanes,Jeff Heerema\heereje01,CA,RW,18,2004,Sarnia,OHL,x,32,4,2,6,-7,6
1999,1,11,Calgary Flames,Oleg Saprykin\sapryol01,SU,LW,18,2007,Seattle,WHL,x,325,55,82,137,-7,240
