Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
1995,3,63,Dallas Stars,Petr Buzek\buzekpe01,CS,D,18,2003,Dukla Jihlava,Czech-2,x,157,9,22,31,-25,94
1996,3,63,New Jersey Devils,Scott Parker\parkesc01,US,RW,18,2008,Kelowna,WHL,x,308,7,14,21,4,699
1997,3,63,Boston Bruins,Lee Goren\gorenle01,CA,RW,19,2007,North Dakota,WCHA,x,67,5,4,9,-16,44
1998,3,63,Florida Panthers,Lance Ward\wardla01,CA,D,20,2004,Red Deer,WHL,x,209,4,12,16,-30,391
2005,3,63,Anaheim Ducks,Jason Bailey,CA,RW,18,,U.S. National U-18,USNTDP,,,,,,,
1999,2,64,Buffalo Sabres,Mike Zigomanis\zigommi01,CA,C,18,2011,Kingston,OHL,x,197,21,19,40,-21,89
2000,2,64,New York Rangers,Filip Novak\novakfi01,CS,D,18,2007,Regina,WHL,x,17,0,0,0,-1,6
2003,2,64,Detroit Red Wings,Jimmy Howard\howarja02,US,G,19,2020,U. of Maine,H-East,x,543,0,9,9,0,36
2004,2,64,Boston Bruins,Martins Karsums\karsuma01,SU,RW,18,2009,Moncton,QMJHL,x,24,1,5,6,-8,6
1993,3,64,Buffalo Sabres,Ethan Philpott,US,,,,Andover,High-MA,,,,,,,
1994,3,64,Toronto Maple Leafs,Fredrik Modin\modinfr01,SE,LW,19,2011,Yepandhin Dev Timra,Sweden-3,x,898,232,230,462,-11,453
1995,3,64,San Jose Sharks,Marko Makinen,FI,,,,TPS Turku,Finland,,,,,,,
1996,3,64,Philadelphia Flyers,Chester Gallant,CA,,,,Niagara Falls,OHL,,,,,,,
1997,3,64,Vancouver Canucks,Kyle Freadrich\freadky01,CA,LW,18,2001,Regina,WHL,x,23,0,1,1,-2,75
1998,3,64,Tampa Bay Lightning,Brad Richards\richabr01,CA,C,18,2016,Rimouski,QMJHL,x,1126,298,634,932,-66,251
2001,3,64,Florida Panthers,Tomas Malec\malecto01,CS,D,19,2007,Rimouski,QMJHL,x,46,0,2,2,-2,47
2002,3,64,New Jersey Devils,Jason Ryznar\ryznaja01,US,LW,19,2006,Michigan,CCHA,x,8,0,0,0,-1,2
2005,3,64,Carolina Hurricanes,Joe Barnes,CA,C,19,,Saskatoon,WHL,,,,,,,
1999,2,65,Nashville Predators,Jan Lasak\lasakja01,CS,G,20,2003,Zvolen,Slovakia,x,6,0,0,0,0,2
2000,2,65,St. Louis Blues,Dave Morisset\morisda02,CA,RW,19,2002,Seattle,WHL,x,4,0,0,0,-7,5
2003,2,65,Buffalo Sabres,Branislav Fabry,SK,LW,18,,Bratislava Jr.,,,,,,,,
2004,2,65,Tampa Bay Lightning,Mark Tobin,CA,LW,18,,Rimouski,QMJHL,,,,,,,
1993,3,65,New Jersey Devils,Krzysztof Oliwa\oliwakr01,PL,LW,20,2006,Welland Jr. B,GOJHL,x,410,17,28,45,-17,1447
1994,3,65,Vancouver Canucks,Chad Allan,CA,,,,Saskatoon,WHL,,,,,,,
1995,3,65,New York Rangers,Mike Martin,CA,,,,Windsor,OHL,,,,,,,
1996,3,65,Florida Panthers,Oleg Kvasha\kvashol01,SU,LW,18,2006,CSKA Moscow,Russia,x,493,81,136,217,0,335
1997,3,65,Montreal Canadiens,Ilkka Mikkola,FI,,,,Karpat Oulu,Finland,,,,,,,
1998,3,65,San Jose Sharks,Eric Laplante,CA,,,,Halifax,QMJHL,,,,,,,
2001,3,65,Toronto Maple Leafs,Brendan Bell\bellbr02,CA,D,18,2012,Ottawa,OHL,x,102,7,21,28,-19,51
2002,3,65,Columbus Blue Jackets,Ole-Kristian Tollefsen\tolleol01,NO,D,18,2010,Lillehammer,Norway,x,163,4,8,12,-6,296
2005,3,65,Minnesota Wild,Kristofer Westblom,CA,G,18,,Kelowna,WHL,,,,,,,
1999,2,66,Dallas Stars,Dan Jancevski\janceda01,CA,D,18,2009,London,OHL,x,9,0,0,0,0,2
2003,2,66,Boston Bruins,Masi Marjamaki\marjama01,FI,RW,18,2006,Red Deer,WHL,x,1,0,0,0,0,0
1993,3,66,New York Islanders,Vladimir Chebaturkin\chebavl01,SU,D,18,2002,Kristall Elektrostal,Russia,x,62,2,7,9,7,52
1994,3,66,San Jose Sharks,Alexei Yegorov\yegoral01,SU,RW,19,1997,SKA St. Petersburg,KHL,x,11,3,3,6,-4,2
1995,3,66,Vancouver Canucks,Peter Schaefer\schaepe01,CA,LW,18,2011,Brandon,WHL,x,572,99,162,261,60,200
1996,3,66,Toronto Maple Leafs,Mike Lankshear,CA,,,,Guelph,OHL,,,,,,,
1997,3,66,Ottawa Senators,Josh Langfeld\langfjo01,US,RW,20,2008,Lincoln,USHL,x,143,9,23,32,8,60
1998,3,66,New York Rangers,Jason LaBarbera\labarja01,CA,G,18,2015,Portland,WHL,x,187,0,2,2,0,10
2000,3,66,Boston Bruins,Tuukka Makela,FI,,,,HIFK Helsinki,Finland,,,,,,,
2001,3,66,Vancouver Canucks,Fedor Fedorov\fedorfe01,SU,C,20,2006,Sudbury,OHL,x,18,0,2,2,0,14
2002,3,66,Los Angeles Kings,Petr Kanko\kankope01,CS,RW,18,2006,Kitchener,OHL,x,10,1,0,1,1,0
2004,3,66,Washington Capitals,Sami Lepisto\lepissa01,FI,D,19,2012,Jokerit Helsinki,KHL,x,176,6,29,35,23,137
2005,3,66,New York Rangers,Brodie Dupont\duponbr01,CA,C,18,2011,Calgary,WHL,x,1,0,0,0,0,0
2003,2,67,Ottawa Senators,Igor Mirnov,RU,LW,18,,Dynamo Moscow,Russia,,,,,,,
1993,3,67,Florida Panthers,Mikael Tjallden,SE,,,,MoDo Ornskoldsvik,Sweden,,,,,,,
1994,3,67,Anaheim Ducks,Craig Reichert\reichcr01,CA,RW,20,1997,Red Deer,WHL,x,3,0,0,0,-2,0
1995,3,67,Winnipeg Jets,Brad Isbister\isbisbr01,CA,LW,18,2008,Portland,WHL,x,541,106,116,222,-43,615
1996,3,67,St. Louis Blues,Gordie Dwyer\dwyergo01,CA,LW,18,2004,Beauport,QMJHL,x,108,0,5,5,-20,394
1997,3,67,Chicago Blackhawks,Mike Souza,US,,,,New Hampshire,H-East,,,,,,,
1998,3,67,Edmonton Oilers,Alex Henry\henryal01,CA,D,18,2009,London,OHL,x,177,2,9,11,-7,269
1999,3,67,Tampa Bay Lightning,Evgeny Konstantinov\konstev01,SU,G,18,2003,Ak Bars Kazan 2,Russia-2,x,2,0,0,0,0,2
2000,3,67,New Jersey Devils,Max Birbraer,KZ,,,,Newmarket,OHL,,,,,,,
2001,3,67,New Jersey Devils,Robin Leblanc,CH,RW,18,,Baie-Comeau,QMJHL,,,,,,,
2002,3,67,Florida Panthers,Gregory Campbell\campbgr01,CA,LW,18,2016,Plymouth,OHL,x,803,71,116,187,-33,696
2004,3,67,Pittsburgh Penguins,Nick Johnson\johnsni01,CA,RW,18,2014,St. Albert,AJHL,x,113,14,23,37,-8,52
2005,3,67,Columbus Blue Jackets,Kris Russell\russekr01,CA,D,18,2020,Medicine Hat,WHL,x,846,46,190,236,-5,259
2003,2,68,Edmonton Oilers,Jean-Francois Jacques\jacquje01,CA,LW,18,2012,Baie-Comeau,QMJHL,x,166,9,8,17,-36,197
1993,3,68,Los Angeles Kings,Jeff Mitchell\mitchje01,US,C,18,1998,Detroit,OHL,x,7,0,0,0,0,7
1994,3,68,St. Louis Blues,Stephane Roy,CA,,,,Val d'Or,QMJHL,,,,,,,
1995,3,68,Buffalo Sabres,Mathieu Sunderland,CA,,,,Drummondville,QMJHL,,,,,,,
1996,3,68,Toronto Maple Leafs,Konstantin Kalmikov,UA,,,,Detroit,OHL,,,,,,,
1997,3,68,Edmonton Oilers,Sergei Yerkovich,RU,,,,Las Vegas,IHL,,,,,,,
1998,3,68,Vancouver Canucks,Jarkko Ruutu\ruutuja01,FI,RW,23,2011,HIFK Helsinki,Finland,x,652,58,84,142,-21,1078
1999,3,68,Atlanta Thrashers,Zdenek Blatny\blatnzd01,CS,LW,18,2006,Seattle,WHL,x,25,3,0,3,-3,8
2000,3,68,Dallas Stars,Joel Lundqvist\lundqjo01,SE,C,18,2009,Vastra Frolunda,Sweden,x,134,7,19,26,-17,56
2001,3,68,Florida Panthers,Grant McNeill\mcneigr01,CA,D,18,2004,Prince Albert,WHL,x,3,0,0,0,0,5
2002,3,68,Vancouver Canucks,Brett Skinner\skinnbr01,CA,D,19,2009,Des Moines,USHL,x,11,0,0,0,3,4
2004,3,68,Chicago Blackhawks,Adam Berti\bertiad01,CA,LW,18,2008,Oshawa,OHL,x,2,0,0,0,0,0
2005,3,68,Chicago Blackhawks,Evan Brophey\brophev01,CA,C,18,2012,Belleville,OHL,x,4,0,0,0,0,0
1993,3,69,Washington Capitals,Patrick Boileau\boilepa01,CA,D,18,2004,Laval,QMJHL,x,48,5,11,16,-13,26
1994,3,69,Buffalo Sabres,Rumun Ndur\ndurru01,NG,D,19,2000,Guelph,OHL,x,69,2,3,5,-18,137
1995,3,69,Dallas Stars,Sergey Gusev\gusevse01,SU,D,20,2001,CSK VVS Samara,Russia-3,x,89,4,10,14,-20,34
1996,3,69,Tampa Bay Lightning,Curtis Tipler,CA,,,,Regina,WHL,,,,,,,
1997,3,69,Buffalo Sabres,Maxim Afinogenov\afinoma01,SU,RW,18,2010,Dynamo Moscow,Russia,x,651,158,237,395,-43,486
1998,3,69,Toronto Maple Leafs,Jamie Hodson,CA,,,,Brandon,WHL,,,,,,,
1999,3,69,Vancouver Canucks,Rene Vydareny,SK,,,,Bratislava Jr.,,,,,,,,
2000,3,69,Columbus Blue Jackets,Ben Knopp,CA,,,,Moose Jaw,WHL,,,,,,,
2001,3,69,Anaheim Ducks,Joel Stepp,CA,C,18,,Red Deer,WHL,,,,,,,
2002,3,69,Pittsburgh Penguins,Erik Christensen\chriser01,CA,C,18,2012,Kamloops,WHL,x,387,68,95,163,-24,162
2003,3,69,Philadelphia Flyers,Colin Fraser\fraseco01,CA,C,18,2015,Red Deer,WHL,x,359,20,38,58,-7,290
2004,3,69,Carolina Hurricanes,Casey Borer\borerca01,US,D,19,2010,St. Cloud State,WCHA,x,16,1,2,3,-4,9
2005,3,69,Calgary Flames,Gord Baldwin,CA,D,18,,Medicine Hat,WHL,,,,,,,
1993,3,70,Calgary Flames,Dan Tompkins,US,,,,Minnetonka,,,,,,,,
1994,3,70,Montreal Canadiens,Marko Kiprusoff\kipruma01,FI,D,22,2002,TPS Turku,Finland,x,51,0,10,10,-3,12
1995,3,70,New Jersey Devils,Sergei Vyshedkevich\vyshese01,SU,D,20,2001,Dynamo Moscow,Russia,x,30,2,5,7,-10,16
1996,3,70,Dallas Stars,Jon Sim\simjo01,CA,LW,18,2011,Sarnia,OHL,x,469,75,64,139,-43,314
1997,3,70,Calgary Flames,Erik Andersson\anderer01,SE,C,26,1998,Denver,WCHA,x,12,2,1,3,-4,8
1998,3,70,Carolina Hurricanes,Kevin Holdridge,US,,,,Plymouth,OHL,,,,,,,
1999,3,70,Florida Panthers,Niklas Hagman\hagmani01,FI,LW,19,2012,HIFK Helsinki,Finland,x,770,147,154,301,-40,220
2000,3,70,Toronto Maple Leafs,Mikael Tellqvist\tellqmi01,SE,G,20,2009,Djurgarden,Sweden,x,113,0,2,2,0,2
2001,3,70,Dallas Stars,Yared Hagos,SE,C,18,,AIK Solna,Sweden,,,,,,,
2002,3,70,Phoenix Coyotes,Joe Callahan\callajo02,US,D,19,2011,Yale,ECAC,x,46,0,4,4,5,16
2003,3,70,Pittsburgh Penguins,Jonathan Filewich\filewjo01,CA,RW,18,2008,Prince George,WHL,x,5,0,0,0,-2,0
2004,3,70,Calgary Flames,Brandon Prust\prustbr01,CA,LW,20,2016,London,OHL,x,486,40,75,115,16,1036
2005,3,70,Ottawa Senators,Vitali Anikeyenko,RU,D,18,,Lokomotiv Yaroslavl 2,Russia-3,,,,,,,
1993,3,71,Philadelphia Flyers,Vinny Prospal\prospva01,CS,C,18,2013,Ceske Budejovice,Czech-2,x,1108,255,510,765,-57,581
1994,3,71,New Jersey Devils,Sheldon Souray\sourash01,CA,D,18,2013,Tri-City,WHL,x,758,109,191,300,-22,1145
1995,3,71,Chicago Blackhawks,Kevin McKay,CA,,,,Moose Jaw,WHL,,,,,,,
1996,3,71,Montreal Canadiens,Arron Asham\ashamar01,CA,RW,18,2014,Red Deer,WHL,x,789,94,114,208,-42,1004
1997,3,71,Pittsburgh Penguins,Josef Melichar\melicjo01,CS,D,18,2009,Ceske Budejovice,Czech-2,x,349,7,42,49,-26,300
1998,3,71,Carolina Hurricanes,Erik Cole\coleer01,US,LW,19,2015,Clarkson,ECAC,x,892,265,267,532,-7,659
1999,3,71,Phoenix Coyotes,Jason Jaspers\jaspeja01,CA,C,18,2004,Sudbury,OHL,x,9,0,1,1,-3,6
2000,3,71,Vancouver Canucks,Thatcher Bell,CA,,,,Rimouski,QMJHL,,,,,,,
2001,3,71,Montreal Canadiens,Tomas Plekanec\plekato01,CS,C,18,2019,Poldi Kladno,Czech,x,1001,233,375,608,55,543
2002,3,71,Anaheim Ducks,Brian Lee,US,,,,Erie,OHL,,,,,,,
2003,3,71,Columbus Blue Jackets,Dmitry Kosmachev,RU,D,18,,CSKA Moscow,Russia,,,,,,,
2004,3,71,Buffalo Sabres,Andrej Sekera\sekeran01,CS,D,18,2020,Dukla Trencin Jr.,Slovak-Jr.,x,764,47,197,244,3,192
2005,3,71,Dallas Stars,Rich Clune\cluneri01,CA,LW,18,2016,Sarnia,OHL,x,139,7,15,22,-2,327
1993,3,72,Hartford Whalers,Marek Malik\malikma01,CS,D,18,2009,TJ Vitkovice,Czech,x,691,33,135,168,133,620
1994,3,72,Quebec Nordiques,Chris Drury\drurych01,US,C,18,2011,Fairfield Prep,High-CT,x,892,255,360,615,-6,468
1995,3,72,Calgary Flames,Rocky Thompson\thompro01,CA,D,18,2002,Medicine Hat,WHL,x,25,0,0,0,0,117
1996,3,72,Pittsburgh Penguins,Boyd Kane\kanebo01,CA,LW,18,2010,Regina,WHL,x,31,0,3,3,-8,39
1997,3,72,Anaheim Ducks,Jay Legault,CA,,,,London,OHL,,,,,,,
1998,3,72,Tampa Bay Lightning,Dmitry Afanasenkov\afanadm01,SU,LW,18,2007,Torpedo Yaroslavl 2,Russia-2,x,227,27,27,54,-36,52
1999,3,72,Nashville Predators,Brett Angel,CA,,,,North Bay,OHL,,,,,,,
2000,3,72,Nashville Predators,Mattias Nilsson,SE,,,,MoDo Ornskoldsvik,Sweden,,,,,,,
2001,3,72,New Jersey Devils,Brandon Nolan\nolanbr01,CA,C,18,2008,Oshawa,OHL,x,6,0,1,1,-2,0
2002,3,72,Minnesota Wild,Mike Erickson,US,RW,19,,Minnesota,WCHA,,,,,,,
2003,3,72,Edmonton Oilers,Mikhail Zhukov,RU,LW,18,,Arboga,Sweden-3,,,,,,,
2004,3,72,Colorado Avalanche,Denis Parshin,RU,RW,18,,CSKA Moscow 2,Russia,,,,,,,
2005,3,72,Los Angeles Kings,Jonathan Quick\quickjo01,US,G,19,2020,Avon Old Farms,High-CT,x,644,0,19,19,0,58
1993,3,73,Montreal Canadiens,Sebastien Bordeleau\bordese01,CA,C,18,2002,Hull,QMJHL,x,251,37,61,98,-31,118
1994,3,73,Pittsburgh Penguins,Greg Crozier\crozigr01,CA,LW,18,2001,Lawrence Academy,High-MA,x,1,0,0,0,0,0
1995,3,73,Boston Bruins,Bill McCauley,US,,,,Detroit,OHL,,,,,,,
1996,3,73,Calgary Flames,Dmitri Vlasenkov,RU,,,,Torpedo Yaroslavl,KHL,,,,,,,
1997,3,73,New York Rangers,Burke Henry\henrybu01,CA,D,18,2004,Brandon,WHL,x,39,2,6,8,-13,33
1998,3,73,Phoenix Coyotes,Pat O'Leary,US,,,,Robbinsdale,High-MN,,,,,,,
1999,3,73,Buffalo Sabres,Tim Preston,CA,,,,Seattle,WHL,,,,,,,
2000,3,73,Boston Bruins,Sergei Zinovjev\zinovse01,SU,C,20,2004,Novokuznetsk,KHL,x,10,0,1,1,1,2
2001,3,73,Chicago Blackhawks,Craig Anderson\andercr01,US,G,20,2020,Guelph,OHL,x,648,0,18,18,0,54
2002,3,73,Minnesota Wild,Barry Brust\brustba01,CA,G,19,2007,Spokane,WHL,x,11,0,0,0,0,0
2003,3,73,Pittsburgh Penguins,Daniel Carcillo\carcida01,CA,LW,18,2015,Sarnia,OHL,x,429,48,52,100,-17,1233
2004,3,73,New York Rangers,Zdenek Bahensky,CZ,RW,18,,Chemopetrol Litvinov Jr.,Czech,,,,,,,
2005,3,73,Tampa Bay Lightning,Radek Smolenak\smolera01,CS,LW,18,2010,Kingston,OHL,x,7,0,1,1,1,15
1993,3,74,Detroit Red Wings,Kevin Hilton,US,,,,Trenton,,,,,,,,
1994,3,74,Montreal Canadiens,Martin Belanger,CA,,,,Granby,QMJHL,,,,,,,
1995,3,74,Montreal Canadiens,Martin Hohenberger,AT,,,,Prince George,WHL,,,,,,,
1996,3,74,Washington Capitals,Dave Weninger,CA,,,,Michigan Tech,WCHA,,,,,,,
1997,3,74,Florida Panthers,Nick Smith\smithni01,CA,C,18,2002,Barrie,OHL,x,15,0,0,0,-1,0
1998,3,74,Ottawa Senators,Julien Vauclair\vauclju01,CH,D,18,2004,Lugano,Swiss,x,1,0,0,0,1,2
1999,3,74,Los Angeles Kings,Jason Crain,US,,,,Ohio State,CCHA,,,,,,,
2000,3,74,Chicago Blackhawks,Igor Radulov\radulig01,SU,LW,18,2004,Torpedo Yaroslavl 2,Russia-2,x,43,9,7,16,-5,22
2001,3,74,Minnesota Wild,Chris Heid,CA,D,18,,Spokane,WHL,,,,,,,
2002,3,74,Toronto Maple Leafs,Todd Ford,CA,G,18,,Swift Current,WHL,,,,,,,
2003,3,74,Buffalo Sabres,Clarke MacArthur\macarcl01,CA,LW,18,2017,Medicine Hat,WHL,x,552,133,171,304,-6,343
2004,3,74,Anaheim Ducks,Kyle Klubertanz,US,D,18,,Green Bay,USHL,,,,,,,
2005,3,74,Calgary Flames,Dan Ryder,CA,C,18,,Peterborough,OHL,,,,,,,
1993,3,75,Quebec Nordiques,Bill Pierce,US,,,,Burlington,High-MA,,,,,,,
1994,3,75,Detroit Red Wings,Sean Gillam,CA,,,,Spokane,WHL,,,,,,,
1995,3,75,St. Louis Blues,Scott Roche,CA,,,,North Bay,OHL,,,,,,,
1996,3,75,Vancouver Canucks,Zenith Komarniski\komarze01,CA,D,18,2004,Tri-City,WHL,x,21,1,1,2,-1,10
1997,3,75,Buffalo Sabres,Jeff Martin,CA,,,,Windsor,OHL,,,,,,,
1998,3,75,Montreal Canadiens,Francois Beauchemin\beaucfr01,CA,D,18,2018,Laval,QMJHL,x,903,76,212,288,14,490
1999,3,75,Tampa Bay Lightning,Brett Scheffelmaier,CA,D,18,,Medicine Hat,WHL,,,,,,,
2000,3,75,St. Louis Blues,Justin Papineau\papinju01,CA,C,20,2004,Belleville,OHL,x,81,11,8,19,2,12
2001,3,75,Nashville Predators,Denis Platonov,RU,RW,19,,Saratov,Russia-2,,,,,,,
2002,3,75,Ottawa Senators,Arttu Luttinen,FI,C,19,,HIFK Helsinki Jr.,Finland-Jr.,,,,,,,
2003,3,75,New York Rangers,Ken Roche,US,C,19,,St. Sebastian's,High-MA,,,,,,,
2004,3,75,Anaheim Ducks,Tim Brent\brentti01,CA,C,20,2013,St. Michael's,OJHL,x,207,21,27,48,-21,76
2005,3,75,Dallas Stars,Perttu Lindgren\lindgpe01,FI,C,18,2010,Ilves Tampere Jr.,Finland-Jr.,x,1,0,0,0,0,0
1993,3,76,Chicago Blackhawks,Ryan Huska\huskary01,CA,LW,18,1998,Kamloops,WHL,x,1,0,0,0,0,0
1994,3,76,Pittsburgh Penguins,Alexei Krivchenkov,RU,,,,CSKA Moscow,Russia,,,,,,,
1995,3,76,Pittsburgh Penguins,Jean-Sebastien Aubin\aubinje01,CA,G,18,2008,Sherbrooke,QMJHL,x,218,0,3,3,0,10
1996,3,76,New York Rangers,Dmitri Subbotin,RU,,,,CSKA Moscow,Russia,,,,,,,
1997,3,76,Detroit Red Wings,Petr Sykora\sykorpe02,CS,C,18,2006,Pardubice,Czech,x,12,2,2,4,-1,6
1998,3,76,Los Angeles Kings,Alexei Volkov,RU,,,,Krylja Sovetov 2,Russia-2,,,,,,,
1999,3,76,Los Angeles Kings,Frantisek Kaberle\kaberfr01,CS,D,25,2009,MoDo Ornskoldsvik,Sweden,x,523,29,164,193,-19,218
2000,3,76,New Jersey Devils,Mike Rupp\ruppmi01,US,C,20,2014,Erie,OHL,x,610,54,45,99,-28,855
2001,3,76,Nashville Predators,Oliver Setzinger,AT,C,18,,Ilves Tampere,Finland,,,,,,,
2002,3,76,Buffalo Sabres,Michael Tessier,CA,LW,18,,Acadie-Bathurst,QMJHL,,,,,,,
2003,3,76,Nashville Predators,Richard Stehlik,SK,D,19,,Sherbrooke,QMJHL,,,,,,,
2004,3,76,Atlanta Thrashers,Scott Lehman\lehmasc01,CA,D,18,2009,St. Michael's,OJHL,x,1,0,0,0,0,0
2005,3,76,New York Islanders,Shea Guthrie,CA,W,18,,St. George's,High-RI,,,,,,,
1993,3,77,Philadelphia Flyers,Milos Holan\holanmi01,CS,D,22,1996,TJ Vitkovice,Czech,x,49,5,11,16,-12,42
1994,3,77,Calgary Flames,Chris Clark\clarkch01,US,RW,18,2011,Springfield Jr. B,,x,607,103,111,214,-48,700
1995,3,77,Colorado Avalanche,John Tripp\trippjo01,CA,RW,18,2004,Oshawa,OHL,x,43,2,7,9,-3,35
1996,3,77,Pittsburgh Penguins,Boris Protsenko,UA,,,,Calgary,WHL,,,,,,,
1997,3,77,Dallas Stars,Steve Gainey\gainest01,CA,LW,18,2006,Kamloops,WHL,x,33,0,2,2,-3,34
1998,3,77,Buffalo Sabres,Mike Pandolfo\pandomi01,US,LW,19,2004,St. Sebastian's,High-MA,x,3,0,0,0,-2,0
1999,3,77,Calgary Flames,Craig Anderson\andercr01,US,G,18,2020,Guelph,OHL,x,648,0,18,18,0,54
2000,3,77,Florida Panthers,Robert Fried,US,,,,Deerfield Academy,High-MA,,,,,,,
2001,3,77,Boston Bruins,Darren McLachlan,CA,LW,18,,Seattle,WHL,,,,,,,
2002,3,77,Washington Capitals,Patrick Wellar,CA,D,18,,Portland,WHL,,,,,,,
2003,3,77,Phoenix Coyotes,Tyler Redenbach,CA,C,18,,Swift Current,WHL,,,,,,,
2004,3,77,Ottawa Senators,Shawn Weller,US,LW,18,,Capital District,EJHL,,,,,,,
2005,3,77,New York Rangers,Dalyn Flatt,CA,D,18,,Saskatoon,WHL,,,,,,,
1993,3,78,Florida Panthers,Steve Washburn\washbst01,CA,C,18,2001,Ottawa,OHL,x,93,14,15,29,-4,42
1994,3,78,New York Rangers,Adam Smith,CA,,,,Tacoma,WHL,,,,,,,
1995,3,78,New Jersey Devils,David Gosselin\gosseda01,CA,RW,18,2002,Sherbrooke,QMJHL,x,13,2,1,3,-5,11
1996,3,78,Washington Capitals,Shawn McNeil,CA,,,,Kamloops,WHL,,,,,,,
1997,3,78,Colorado Avalanche,Ville Nieminen\niemivi01,FI,LW,20,2007,Tappara Tampere,Finland,x,385,48,69,117,-28,333
1998,3,78,Boston Bruins,Peter Nordstrom\nordspe01,SE,C,24,1999,Farjestad Jr.,Sweden-Jr.,x,2,0,0,0,-1,0
1999,3,78,New York Islanders,Mattias Weinhandl\weinhma01,SE,RW,19,2007,Troja,Sweden-3,x,182,19,37,56,1,70
2000,3,78,Montreal Canadiens,Jozef Balej\balejjo01,CS,RW,18,2006,Portland,WHL,x,18,1,5,6,0,4
2001,3,78,Phoenix Coyotes,Beat Forster,CH,D,18,,Davos,Swiss,,,,,,,
2002,3,78,Dallas Stars,Geoff Waugh,CA,D,19,,Kindersley,SJHL,,,,,,,
2003,3,78,Minnesota Wild,Danny Irmen\irmenda01,US,C,19,2010,Lincoln,USHL,x,2,0,0,0,-1,0
2004,3,78,Minnesota Wild,Peter Olvecky\olvecpe01,CS,C,18,2010,Dukla Trencin Jr.,Slovak-Jr.,x,32,2,5,7,1,12
2005,3,78,Nashville Predators,Teemu Laakso\laakste01,FI,D,18,2012,HIFK Helsinki,Finland,x,17,0,0,0,-3,10
1996,3,79,Colorado Avalanche,Mark Parrish\parrima01,US,RW,19,2011,St. Cloud State,WCHA,x,722,216,171,387,-47,246
1997,3,79,New York Islanders,Robert Schnabel\schnaro01,CS,D,18,2004,Slavia Praha,Czech-2,x,22,0,3,3,6,34
1998,3,79,Colorado Avalanche,Evgeny Lazarev,UA,,,,Kitchener Jr. B,,,,,,,,
1999,3,79,New York Rangers,Johan Asplund,SE,,,,Brynas Gavle,Sweden,,,,,,,
2000,3,79,Montreal Canadiens,Tyler Hanchuck,CA,,,,Brampton,OHL,,,,,,,
2001,3,79,New York Rangers,Garth Murray\murraga01,CA,C,18,2009,Regina,WHL,x,116,8,2,10,-19,131
2002,3,79,Edmonton Oilers,Brock Radunske,CA,LW,19,,Michigan State,CCHA,,,,,,,
2003,3,79,Montreal Canadiens,Ryan O'Byrne\obyrnry01,CA,D,19,2013,Nanaimo,BCHL,x,308,5,34,39,-19,369
2004,3,79,Minnesota Wild,Clayton Stoner\stonecl01,CA,D,19,2017,Tri-City,WHL,x,360,7,41,48,5,459
2005,3,79,Nashville Predators,Cody Franson\fransco01,CA,D,18,2018,Vancouver,WCHL,x,550,43,169,212,-10,202
1993,4,79,Winnipeg Jets,Ruslan Batyrshin\batyrru01,SU,D,18,1996,Dynamo Moscow,Russia,x,2,0,0,0,0,6
1994,4,79,Edmonton Oilers,Adam Copeland,CA,,,,Burlington Jr. B,OJHL,,,,,,,
1995,4,79,New Jersey Devils,Alyn McCauley\mccaual01,CA,C,18,2007,Ottawa,OHL,x,488,69,97,166,25,116
1996,3,80,Boston Bruins,Jason Doyle,CA,,,,Owen Sound,OHL,,,,,,,
1997,3,80,Carolina Hurricanes,Francis Lessard\lessafr01,CA,RW,18,2011,Val d'Or,QMJHL,x,115,1,3,4,-6,346
1998,3,80,Pittsburgh Penguins,David Cameron,CA,,,,Prince Albert,WHL,,,,,,,
1999,3,80,Florida Panthers,Jean-Francois Laniel,CA,,,,Shawinigan,QMJHL,,,,,,,
2000,3,80,Carolina Hurricanes,Ryan Bayda\baydary01,CA,LW,19,2009,U. of North Dakota,WCHA,x,179,16,24,40,-20,94
2001,3,80,Atlanta Thrashers,Michael Garnett\garnemi01,CA,G,18,2006,Saskatoon,WHL,x,24,0,2,2,0,0
2002,3,80,Phoenix Coyotes,Matt Jones\jonesma01,US,D,19,2008,North Dakota,WCHA,x,106,1,10,11,-27,63
2003,3,80,Phoenix Coyotes,Dmitri Pestunov,KZ,C,18,,Magnitogorsk,KHL,,,,,,,
2004,3,80,New York Rangers,Billy Ryan,US,C,18,,Cushing Academy,High-MA,,,,,,,
2005,3,80,Detroit Red Wings,Christofer Lofberg,SE,C,18,,Djurgarden Jr.,Sweden-Jr.,,,,,,,
1993,4,80,San Jose Sharks,Alexander Osadchy,RU,,,,Kharkov,,,,,,,,
1994,4,80,Anaheim Ducks,Byron Briske,CA,,,,Red Deer,WHL,,,,,,,
1995,4,80,Florida Panthers,Dave Duerden\duerdda01,CA,LW,18,2000,Peterborough,OHL,x,2,0,0,0,0,0
1998,3,81,Vancouver Canucks,Justin Morrison,US,,,,Colorado College,WCHA,,,,,,,
1999,3,81,Edmonton Oilers,Adam Hauser\hausead01,US,G,19,2006,Minnesota,WCHA,x,1,0,0,0,0,0
2000,3,81,Tampa Bay Lightning,Alexander Kharitonov\kharial01,SU,LW,24,2002,Dynamo Moscow,Russia,x,71,7,15,22,-10,12
